GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,4,3,0,0,2,1,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,140,7,4,0,25,2,9,2,7,2
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,187,7,4,0,31,2,10,2,8,2
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,140,7,4,0,25,2,9,2,7,2
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,140,7,4,0,25,2,9,2,7,2
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,140,7,4,0,25,2,9,2,7,2
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,140,7,4,0,25,2,9,2,7,2
spring-boot-skeleton,com.nnk.springboot.services,RuleNameService,0,27,0,0,0,7,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,CurvePointService,0,27,0,0,0,7,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,UserService,5,27,0,0,1,7,1,5,1,5
spring-boot-skeleton,com.nnk.springboot.services,BidListService,0,27,0,0,0,7,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,TradeService,12,15,0,0,3,4,2,3,2,3
spring-boot-skeleton,com.nnk.springboot.services,RatingService,0,27,0,0,0,7,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.config,CustomUserDetailsService,62,3,4,0,12,1,4,1,2,1
spring-boot-skeleton,com.nnk.springboot.config,SpringSecurityConfig,0,52,0,0,0,13,0,5,0,5
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,4,49,0,0,2,21,1,11,1,11
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,4,69,0,0,2,29,1,15,1,15
spring-boot-skeleton,com.nnk.springboot.domain,BidList,4,165,0,0,2,71,1,45,1,45
spring-boot-skeleton,com.nnk.springboot.domain,Trade,7,145,0,0,3,63,2,40,2,40
spring-boot-skeleton,com.nnk.springboot.domain,User,13,40,0,0,5,18,4,8,4,8
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,4,53,0,0,2,23,1,13,1,13
